model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.89,4,concave,1,0.4,0.6,0,0,0,0.2,0.4,91.08333333,121.65,2362.012609
overlapping-generations fecundity,0.86,4,concave,1,0.4,0.6,0,0,0,0.15,0.45,115.75,136.6,2246.204085
overlapping-generations fecundity,0.84,3,concave,0.9,0.7,0.2,0,0,0.1,0.15,0.05,59.5,181.25,2946.162092
overlapping-generations fecundity,0.91,7.5,concave,1,0.5,0.5,0,0,0,0.05,0.45,112.1,125.15,2421.330288
overlapping-generations fecundity,0.86,5,concave,1,0.3,0.7,0,0,0,0.1,0.6,92.14285714,132.05,2606.80791
overlapping-generations fecundity,0.85,4,concave,1,0.55,0.45,0,0,0,0.05,0.4,162.1111111,146.95,1732.706496
overlapping-generations fecundity,0.91,8,concave,1,0.35,0.65,0,0,0,0.25,0.4,135.9230769,155.2,1893.29052
overlapping-generations fecundity,0.85,4.5,concave,0.85,0.35,0.5,0,0,0.15,0.1,0.4,148.8461538,282.1,1871.517872
overlapping-generations fecundity,0.85,3.5,concave,0.9,0.45,0.45,0,0,0.1,0.2,0.25,119.5,213.8,1982.871828
overlapping-generations fecundity,0.83,3.5,concave,0.95,0.45,0.5,0,0,0.05,0.05,0.45,107.0909091,175.55,2293.934541
overlapping-generations fecundity,0.91,8.5,concave,1,0.4,0.6,0,0,0,0.05,0.55,157.9166667,165.55,1591.616466
overlapping-generations fecundity,0.9,8,concave,1,0.15,0.85,0,0,0,0.15,0.7,105.4117647,151,2364.529174
overlapping-generations fecundity,0.9,9,concave,1,0.35,0.65,0,0,0,0.3,0.35,145.2307692,162.2,1623.784259
overlapping-generations fecundity,0.89,7.5,concave,1,0.25,0.75,0,0,0,0.1,0.65,134,165.8,2057.894003
overlapping-generations fecundity,0.87,5,concave,1,0.3,0.7,0,0,0,0.15,0.55,109.2857143,142.85,2244.919877
overlapping-generations fecundity,0.9,7.5,concave,1,0.45,0.55,0,0,0,0.1,0.45,145.2727273,149.8,2195.315797
overlapping-generations fecundity,0.88,4.5,concave,1,0.45,0.55,0,0,0,0.1,0.45,113.5454545,134.05,2411.952132
overlapping-generations fecundity,0.83,3,concave,0.95,0.6,0.35,0,0,0.05,0.1,0.25,81,153.05,2587.095957
overlapping-generations fecundity,1,5.5,concave,1,0.95,0.05,0,0,0,0.05,0,17,66.35,4261.195652
overlapping-generations fecundity,0.88,5.5,concave,1,0.5,0.5,0,0,0,0.2,0.3,129.9,135.15,2188.74383
overlapping-generations fecundity,0.87,5.5,concave,1,0.25,0.75,0,0,0,0.15,0.6,131.0666667,164.05,1844.346965
overlapping-generations fecundity,0.84,3.5,concave,1,0.6,0.4,0,0,0,0.1,0.3,124.625,122.65,2715.567126
overlapping-generations fecundity,1,1.5,concave,1,1,0,0,0,0,0,0,nan,63.35,nan
overlapping-generations fecundity,1,6,concave,1,0.95,0.05,0,0,0,0.05,0,37,68.65,2309.166667
