model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.89,4.5,linear,0.95,0.4,0.55,0,0,0.05,0.1,0.45,85.75,164.8,2689.396865
overlapping-generations fecundity,0.96,8,linear,1,0.75,0.25,0,0,0,0.2,0.05,31.2,77.3,3670.513616
overlapping-generations fecundity,0.86,4,linear,0.9,0.4,0.5,0,0,0.1,0.05,0.45,108.0833333,222.5,2502.599904
overlapping-generations fecundity,0.89,5,linear,1,0.65,0.35,0,0,0,0,0.35,89.71428571,106,2859.82894
overlapping-generations fecundity,0.83,3.5,linear,0.9,0.35,0.55,0,0,0.1,0.05,0.5,109,226.55,2137.711527
overlapping-generations fecundity,0.95,8,linear,1,0.65,0.35,0,0,0,0.1,0.25,77.42857143,99.7,2636.430283
overlapping-generations fecundity,0.85,3.5,linear,0.85,0.6,0.25,0,0,0.15,0,0.25,107.5,251.5,2543.1493
overlapping-generations fecundity,0.95,8.5,linear,1,0.75,0.25,0,0,0,0.1,0.15,55,88.5,3387.38811
overlapping-generations fecundity,0.93,7.5,linear,1,0.25,0.75,0,0,0,0.2,0.55,122.8666667,157.35,2004.145276
overlapping-generations fecundity,0.88,5,linear,1,0.5,0.5,0,0,0,0.05,0.45,131.3,136.75,2172.127537
overlapping-generations fecundity,0.85,4,linear,1,0.35,0.65,0,0,0,0.2,0.45,67.38461538,112.8,4287.735563
overlapping-generations fecundity,0.85,4.5,linear,1,0.2,0.8,0,0,0,0,0.8,121.5625,161.95,2442.858068
overlapping-generations fecundity,0.88,4.5,linear,0.95,0.6,0.35,0,0,0.05,0.15,0.2,86.75,150.75,2915.271376
overlapping-generations fecundity,0.86,5,linear,0.9,0.25,0.65,0,0,0.1,0.1,0.55,127.4285714,243.4,2229.320402
overlapping-generations fecundity,0.92,7.5,linear,0.95,0.35,0.6,0,0,0.05,0.05,0.55,133.6153846,199.15,2393.222589
overlapping-generations fecundity,0.9,5.5,linear,1,0.35,0.65,0,0,0,0.15,0.5,123.6153846,148.3,2333.446937
overlapping-generations fecundity,1,1.5,linear,1,1,0,0,0,0,0,0,nan,63.55,nan
overlapping-generations fecundity,0.86,3.5,linear,0.95,0.3,0.65,0,0,0.05,0.15,0.5,105.1428571,187.9,3337.603483
overlapping-generations fecundity,0.94,8,linear,1,0.65,0.35,0,0,0,0.2,0.15,61.57142857,94.35,3160.002509
overlapping-generations fecundity,0.89,5.5,linear,1,0.45,0.55,0,0,0,0.15,0.4,111.0909091,133.35,2394.985562
overlapping-generations fecundity,0.94,8.5,linear,1,0.5,0.5,0,0,0,0.15,0.35,64.2,101.8,3225.521462
overlapping-generations fecundity,0.91,7.5,linear,1,0.4,0.6,0,0,0,0.2,0.4,82.5,118.65,2794.872167
overlapping-generations fecundity,0.84,3.5,linear,1,0.3,0.7,0,0,0,0.15,0.55,95.5,136.45,2687.949486
overlapping-generations fecundity,0.83,3,linear,0.85,0.3,0.55,0,0,0.15,0.15,0.4,83.64285714,259.6,2796.018207
overlapping-generations fecundity,0.92,8,linear,1,0.45,0.55,0,0,0,0.15,0.4,154.0909091,156.25,1813.717032
overlapping-generations fecundity,1,5.5,linear,1,1,0,0,0,0,0,0,nan,67.95,nan
overlapping-generations fecundity,0.99,1.5,linear,1,1,0,0,0,0,0,0,nan,64.1,nan
overlapping-generations fecundity,0.87,5,linear,1,0.25,0.75,0,0,0,0,0.75,159.6,185.05,1853.936714
overlapping-generations fecundity,0.93,8.5,linear,1,0.5,0.5,0,0,0,0.1,0.4,83.3,111.85,2956.964138
overlapping-generations fecundity,0.98,1.5,linear,1,1,0,0,0,0,0,0,nan,64.9,nan
overlapping-generations fecundity,0.93,8,linear,1,0.5,0.5,0,0,0,0.05,0.45,164.3,152.2,1936.991979
overlapping-generations fecundity,0.96,1.5,linear,1,1,0,0,0,0,0,0,nan,65.3,nan
overlapping-generations fecundity,0.86,4.5,linear,0.95,0.55,0.4,0,0,0.05,0.1,0.3,133.4444444,177.25,3022.542323
overlapping-generations fecundity,0.85,3,linear,1,0.65,0.35,0,0,0,0.1,0.25,90.57142857,105.1,4773.264327
overlapping-generations fecundity,1,6,linear,1,0.95,0.05,0,0,0,0.05,0,15,70.4,4245.2
overlapping-generations fecundity,0.97,1.5,linear,1,1,0,0,0,0,0,0,nan,64.5,nan
overlapping-generations fecundity,1,2,linear,1,1,0,0,0,0,0,0,nan,64.4,nan
overlapping-generations fecundity,0.99,5.5,linear,1,1,0,0,0,0,0,0,nan,69.65,nan
overlapping-generations fecundity,0.88,5.5,linear,0.95,0.3,0.65,0,0,0.05,0.15,0.5,135.3571429,190.8,2342.048177
overlapping-generations fecundity,0.92,8.5,linear,1,0.35,0.65,0,0,0,0.05,0.6,130.7692308,152.2,2306.030694
overlapping-generations fecundity,0.95,1.5,linear,1,1,0,0,0,0,0,0,nan,66.45,nan
overlapping-generations fecundity,0.98,5.5,linear,1,0.95,0.05,0,0,0,0.05,0,25,69.85,5837.25
overlapping-generations fecundity,0.99,2,linear,1,1,0,0,0,0,0,0,nan,66,nan
overlapping-generations fecundity,0.84,4.5,linear,1,0.25,0.75,0,0,0,0.05,0.7,175,198.95,2079.250131
overlapping-generations fecundity,0.99,6,linear,1,0.95,0.05,0,0,0,0.05,0,47,71.1,3992.894737
overlapping-generations fecundity,0.84,9.5,concave,0.25,0,0.25,0.75,0,0,0.05,0.2,835.4,888.65,1227.357076
overlapping-generations fecundity,0.91,8,linear,1,0.35,0.65,0,0,0,0.15,0.5,199.3076923,196.85,1836.176286
overlapping-generations fecundity,0.82,3.5,linear,0.95,0.35,0.6,0,0,0.05,0.1,0.5,122.6923077,194.9,2179.353952
overlapping-generations fecundity,0.94,1.5,linear,1,1,0,0,0,0,0,0,nan,66.2,nan
overlapping-generations fecundity,0.98,6,linear,1,1,0,0,0,0,0,0,nan,69.75,nan
overlapping-generations fecundity,0.9,1.5,linear,1,1,0,0,0,0,0,0,nan,68.45,nan
overlapping-generations fecundity,1,6.5,linear,1,1,0,0,0,0,0,0,nan,67.7,nan
overlapping-generations fecundity,0.99,6.5,linear,1,0.95,0.05,0,0,0,0,0.05,89,73.2,2392.760684
overlapping-generations fecundity,0.93,1.5,linear,1,1,0,0,0,0,0,0,nan,67.2,nan
overlapping-generations fecundity,0.91,1.5,linear,1,1,0,0,0,0,0,0,nan,68.75,nan
overlapping-generations fecundity,0.98,6.5,linear,1,0.95,0.05,0,0,0,0,0.05,63,74.65,2773.619565
overlapping-generations fecundity,0.92,1.5,linear,1,1,0,0,0,0,0,0,nan,67.85,nan
overlapping-generations fecundity,0.97,6,linear,1,0.75,0.25,0,0,0,0.1,0.15,57.4,82.35,2976.801545
overlapping-generations fecundity,0.98,2,linear,1,1,0,0,0,0,0,0,nan,65.55,nan
overlapping-generations fecundity,0.89,7.5,linear,1,0.1,0.9,0,0,0,0.25,0.65,173.6111111,219.3,1927.03186
overlapping-generations fecundity,0.9,7.5,linear,1,0.1,0.9,0,0,0,0.15,0.75,163.5,209.3,2040.341777
overlapping-generations fecundity,0.84,4,linear,1,0.2,0.8,0,0,0,0.1,0.7,140.5625,177.05,2264.838897
overlapping-generations fecundity,0.97,2,linear,1,1,0,0,0,0,0,0,nan,66.55,nan
overlapping-generations fecundity,0.99,2.5,linear,1,0.95,0.05,0,0,0,0.05,0,12,66.4,2777.694444
overlapping-generations fecundity,0.97,6.5,linear,1,0.9,0.1,0,0,0,0.1,0,24.5,75.3,3045.628559
overlapping-generations fecundity,0.83,4,linear,0.9,0.2,0.7,0,0,0.1,0.15,0.55,155.4666667,275.05,2181.259641
overlapping-generations fecundity,0.82,4,linear,1,0.3,0.7,0,0,0,0.1,0.6,163.8571429,183.75,2243.03018
overlapping-generations fecundity,0.95,2,linear,1,1,0,0,0,0,0,0,nan,68.65,nan
overlapping-generations fecundity,0.98,2.5,linear,1,1,0,0,0,0,0,0,nan,67.4,nan
overlapping-generations fecundity,0.87,5.5,linear,1,0.3,0.7,0,0,0,0.1,0.6,180.2857143,198.6,1894.164022
overlapping-generations fecundity,1,2.5,linear,1,1,0,0,0,0,0,0,nan,65.25,nan
overlapping-generations fecundity,0.96,6,linear,1,0.8,0.2,0,0,0,0.1,0.1,65,83.5,2278.220082
overlapping-generations fecundity,0.96,2,linear,1,1,0,0,0,0,0,0,nan,67.3,nan
overlapping-generations fecundity,0.96,6.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,76.5,79.4,1495.700607
overlapping-generations fecundity,0.94,2,linear,0.95,0.9,0.05,0,0,0.05,0.05,0,24.5,115.35,2047.224363
overlapping-generations fecundity,0.89,1.5,linear,1,0.95,0.05,0,0,0,0.05,0,17,70.1,2718.692308
overlapping-generations fecundity,0.86,5.5,linear,1,0.3,0.7,0,0,0,0.15,0.55,145.0714286,170.45,2520.913641
overlapping-generations fecundity,0.94,6,linear,1,0.8,0.2,0,0,0,0.1,0.1,45.75,81.15,3598.694684
overlapping-generations fecundity,0.9,8,linear,1,0.2,0.8,0,0,0,0.05,0.75,187.9375,215.55,1987.379684
overlapping-generations fecundity,0.85,1.5,linear,0.95,0.95,0,0,0,0.05,0,0,34,119.25,3321.924528
overlapping-generations fecundity,0.97,2.5,linear,1,0.95,0.05,0,0,0,0,0.05,53,69.15,2049.341772
overlapping-generations fecundity,0.88,1.5,linear,1,1,0,0,0,0,0,0,nan,70.5,nan
overlapping-generations fecundity,0.86,1.5,linear,1,1,0,0,0,0,0,0,nan,72,nan
overlapping-generations fecundity,0.95,6,linear,1,0.7,0.3,0,0,0,0.05,0.25,78.5,93.65,2375.491891
overlapping-generations fecundity,0.83,10,concave,0.1,0,0.1,0.9,0,0,0,0.1,888.5,941,1194.936716
overlapping-generations fecundity,0.87,1.5,linear,1,0.95,0.05,0,0,0,0.05,0,21,72.35,2735.456522
overlapping-generations fecundity,0.84,1.5,linear,0.95,0.95,0,0,0,0.05,0,0,25,119.4,1873.454545
overlapping-generations fecundity,0.9,2,linear,1,0.95,0.05,0,0,0,0.05,0,25,70.8,2528.574074
overlapping-generations fecundity,0.93,2,linear,1,0.95,0.05,0,0,0,0.05,0,22,69.7,4177.952381
overlapping-generations fecundity,0.96,2.5,linear,1,1,0,0,0,0,0,0,nan,67.75,nan
overlapping-generations fecundity,0.83,1.5,linear,0.9,0.85,0.05,0,0,0.1,0.05,0,27,166.2,2823.35387
overlapping-generations fecundity,0.93,6,linear,1,0.75,0.25,0,0,0,0.05,0.2,96.8,97.55,1835.335662
overlapping-generations fecundity,0.92,2,linear,1,1,0,0,0,0,0,0,nan,69.55,nan
overlapping-generations fecundity,0.95,6.5,linear,1,0.65,0.35,0,0,0,0.1,0.25,75.28571429,95.85,2587.081594
overlapping-generations fecundity,0.82,9.5,concave,0.25,0,0.25,0.75,0,0,0,0.25,856.5,908.75,1240.232009
overlapping-generations fecundity,0.94,6.5,linear,1,0.8,0.2,0,0,0,0.15,0.05,39.75,79.8,3503.446133
overlapping-generations fecundity,0.81,9.5,concave,0.2,0,0.2,0.8,0,0,0,0.2,829.8,882.35,1282.866322
overlapping-generations fecundity,0.89,2,linear,1,0.9,0.1,0,0,0,0.1,0,21.5,73.25,2989.957987
overlapping-generations fecundity,0.91,8.5,linear,1,0.15,0.85,0,0,0,0.05,0.8,225.2941176,256,1831.324964
overlapping-generations fecundity,0.9,8.5,linear,1,0.25,0.75,0,0,0,0.2,0.55,234.2666667,242.05,1729.805171
overlapping-generations fecundity,0.91,2,linear,1,1,0,0,0,0,0,0,nan,70.75,nan
overlapping-generations fecundity,0.83,4.5,linear,1,0.05,0.95,0,0,0,0,0.95,222.6315789,273.15,1940.885326
overlapping-generations fecundity,0.95,2.5,linear,1,0.85,0.15,0,0,0,0.15,0,22,71.5,3642.587498
overlapping-generations fecundity,0.89,8,linear,1,0.3,0.7,0,0,0,0,0.7,262.5714286,253.6,1775.93671
overlapping-generations fecundity,0.81,1.5,linear,0.95,0.85,0.1,0,0,0.05,0.1,0,26,121.45,2720.035138
overlapping-generations fecundity,0.93,2.5,linear,1,1,0,0,0,0,0,0,nan,71.05,nan
overlapping-generations fecundity,0.82,1.5,linear,0.95,0.95,0,0,0,0.05,0,0,38,121.05,4350.315789
overlapping-generations fecundity,0.81,4,linear,1,0.15,0.85,0,0,0,0.15,0.7,216.8235294,248.05,2109.595574
overlapping-generations fecundity,0.8,1.5,linear,1,0.95,0.05,0,0,0,0.05,0,16,76.45,1265.948718
overlapping-generations fecundity,0.8,3.5,linear,0.95,0.2,0.75,0,0,0.05,0.1,0.65,206.6875,263.3,2233.206046
overlapping-generations fecundity,0.85,5,linear,0.95,0.05,0.9,0,0,0.05,0.2,0.7,155.1052632,234.5,2305.495735
overlapping-generations fecundity,0.8,4,linear,0.95,0.2,0.75,0,0,0.05,0,0.75,203.5625,260.85,1927.875932
overlapping-generations fecundity,0.92,6,linear,1,0.8,0.2,0,0,0,0.1,0.1,79.25,91,2435.287915
overlapping-generations fecundity,0.94,7,linear,1,0.75,0.25,0,0,0,0.15,0.1,100.6,98.5,2121.250654
overlapping-generations fecundity,0.84,5,linear,1,0,1,0,0,0,0.25,0.75,198.95,258.95,1921.72142
overlapping-generations fecundity,0.81,3.5,linear,0.95,0.2,0.75,0,0,0.05,0.05,0.7,151,233,2223.812319
overlapping-generations fecundity,0.93,6.5,linear,1,0.5,0.5,0,0,0,0.2,0.3,64.4,102.5,2959.396019
overlapping-generations fecundity,0.83,9.5,concave,0.15,0,0.15,0.85,0,0,0,0.15,890.95,942.9,1262.836918
overlapping-generations fecundity,0.88,2,linear,0.95,0.9,0.05,0,0,0.05,0.05,0,25.5,118.3,3032.306002
overlapping-generations fecundity,0.94,2.5,linear,1,1,0,0,0,0,0,0,nan,68.85,nan
overlapping-generations fecundity,0.91,2.5,linear,1,0.95,0.05,0,0,0,0.05,0,25,72.65,2893.978261
overlapping-generations fecundity,0.92,2.5,linear,0.95,0.85,0.1,0,0,0.05,0,0.1,69,125.1,2651.376212
overlapping-generations fecundity,0.87,2,linear,1,0.95,0.05,0,0,0,0.05,0,17,74.55,2260.625
overlapping-generations fecundity,0.9,2.5,linear,1,0.95,0.05,0,0,0,0.05,0,20,73.45,4627.634146
overlapping-generations fecundity,0.89,2.5,linear,1,0.8,0.2,0,0,0,0.1,0.1,57,82.15,2198.115647
overlapping-generations fecundity,0.9,9,linear,1,0.1,0.9,0,0,0,0.05,0.85,230.5555556,269.45,2029.62678
overlapping-generations fecundity,1,9,linear,1,0.95,0.05,0,0,0,0,0.05,85,72.3,1664.582609
overlapping-generations fecundity,0.91,6,linear,1,0.5,0.5,0,0,0,0.15,0.35,80.4,108.9,2994.271232
overlapping-generations fecundity,0.82,10,concave,0.1,0,0.1,0.9,0,0,0,0.1,910.7,962.2,1229.740719
overlapping-generations fecundity,0.88,2.5,linear,0.9,0.8,0.1,0,0,0.1,0,0.1,69.75,175.9,2364.168856
overlapping-generations fecundity,0.86,2,linear,0.9,0.85,0.05,0,0,0.1,0,0.05,45,168.9,2547.192965
overlapping-generations fecundity,0.85,2,linear,1,0.95,0.05,0,0,0,0.05,0,47,78.05,2314.305556
overlapping-generations fecundity,0.93,7,linear,1,0.65,0.35,0,0,0,0.2,0.15,46.42857143,86.95,3789.625997
overlapping-generations fecundity,0.92,6.5,linear,1,0.55,0.45,0,0,0,0.15,0.3,116.1111111,123.25,2569.944651
overlapping-generations fecundity,0.91,6.5,linear,1,0.5,0.5,0,0,0,0.1,0.4,99.6,119.95,2449.350538
overlapping-generations fecundity,0.92,7,linear,1,0.45,0.55,0,0,0,0.2,0.35,101.6363636,126.4,2389.132803
overlapping-generations fecundity,0.84,2,linear,1,0.95,0.05,0,0,0,0.05,0,50,78.4,2515.893333
overlapping-generations fecundity,0.91,7,linear,1,0.4,0.6,0,0,0,0.15,0.45,97.25,126.55,2635.944011
overlapping-generations fecundity,0.85,5.5,linear,0.95,0.05,0.9,0,0,0.05,0.1,0.8,236.1052632,329.45,1987.195984
overlapping-generations fecundity,0.99,9,linear,1,1,0,0,0,0,0,0,nan,70.25,nan
overlapping-generations fecundity,0.87,2.5,linear,1,0.95,0.05,0,0,0,0,0.05,99,79.75,1796.629032
overlapping-generations fecundity,0.88,7.5,linear,0.95,0.1,0.85,0.05,0,0,0.05,0.8,342.3333333,369.15,1602.477655
overlapping-generations fecundity,0.81,10,concave,0.1,0,0.1,0.9,0,0,0,0.1,929.7,982.5,1193.871741
overlapping-generations fecundity,0.94,9,linear,1,0.65,0.35,0,0,0,0.1,0.25,126.5714286,116.85,2382.733033
overlapping-generations fecundity,0.9,6.5,linear,1,0.5,0.5,0,0,0,0.1,0.4,106,125.8,2483.476011
overlapping-generations fecundity,0.9,6,linear,1,0.25,0.75,0,0,0,0.15,0.6,111.5333333,149.8,2581.327037
overlapping-generations fecundity,0.98,9,linear,1,0.85,0.15,0,0,0,0.05,0.1,52.66666667,78.15,3455.320076
overlapping-generations fecundity,0.83,2,linear,0.95,0.85,0.1,0,0,0.05,0.05,0.05,49.33333333,130.45,2804.217768
overlapping-generations fecundity,0.97,9,linear,1,0.8,0.2,0,0,0,0.1,0.1,52.5,80.8,3659.567137
overlapping-generations fecundity,0.82,4.5,linear,1,0.25,0.75,0,0,0,0.05,0.7,347.7333333,330.3,1433.373308
overlapping-generations fecundity,0.86,2.5,linear,0.9,0.85,0.05,0,0,0.1,0.05,0,51.66666667,170.55,3086.098208
overlapping-generations fecundity,0.8,2,linear,0.85,0.7,0.15,0,0,0.15,0.15,0,55.83333333,220.55,2380.637762
overlapping-generations fecundity,0.82,2,linear,0.8,0.7,0.1,0,0,0.2,0.1,0,34.2,264.55,3449.128459
overlapping-generations fecundity,0.81,2,linear,0.85,0.6,0.25,0,0,0.15,0.15,0.1,44.25,224.8,2429.812139
overlapping-generations fecundity,0.84,2.5,linear,0.9,0.9,0,0,0,0.1,0,0,40.5,171.4,3005.338073
overlapping-generations fecundity,0.93,9,linear,1,0.55,0.45,0,0,0,0.05,0.4,82.77777778,110.5,2683.9584
overlapping-generations fecundity,0.88,8,linear,1,0.1,0.9,0,0,0,0.05,0.85,264.5555556,300.9,1980.180512
overlapping-generations fecundity,0.96,9,linear,1,0.75,0.25,0,0,0,0.2,0.05,41.4,82.15,3529.858271
overlapping-generations fecundity,0.87,6,linear,1,0.1,0.9,0,0,0,0.1,0.8,204.1666667,245.45,2007.787994
overlapping-generations fecundity,0.84,5.5,linear,0.95,0.15,0.8,0.05,0,0,0,0.8,343.7058824,355.95,1657.065579
overlapping-generations fecundity,0.89,6.5,linear,1,0.2,0.8,0,0,0,0.1,0.7,111.9375,155.15,2386.035574
overlapping-generations fecundity,0.85,2.5,linear,0.95,0.65,0.3,0,0,0.05,0.15,0.15,54.14285714,134.7,2566.465443
overlapping-generations fecundity,0.83,2.5,linear,0.95,0.65,0.3,0,0,0.05,0.15,0.15,52.14285714,136.8,3176.086562
overlapping-generations fecundity,1,9.5,linear,1,0.95,0.05,0,0,0,0.05,0,42,70.1,4560.507042
overlapping-generations fecundity,0.8,9.5,concave,0,0,0,1,0,0,0,0,949.8,nan,1280.709529
overlapping-generations fecundity,0.95,9,linear,1,0.55,0.45,0,0,0,0.15,0.3,85.88888889,108.15,2547.699721
overlapping-generations fecundity,0.89,8.5,linear,1,0.15,0.85,0,0,0,0,0.85,303.0588235,321.45,1711.49677
overlapping-generations fecundity,0.89,6,linear,1,0.25,0.75,0,0,0,0.05,0.7,213.2666667,227.35,1706.012248
overlapping-generations fecundity,0.88,6,linear,1,0.2,0.8,0,0,0,0.3,0.5,145.4375,182.5,2111.201821
overlapping-generations fecundity,0.9,7,linear,1,0.3,0.7,0,0,0,0.1,0.6,164.1428571,187.05,1834.274609
overlapping-generations fecundity,0.8,10,concave,0,0,0,1,0,0,0,0,950.3,nan,1274.84695
overlapping-generations fecundity,0.87,7.5,linear,0.95,0.05,0.9,0.05,0,0,0,0.9,457.6842105,495.1,1378.84903
overlapping-generations fecundity,0.82,2.5,linear,0.85,0.65,0.2,0,0,0.15,0.1,0.1,56.14285714,229.85,3923.940108
overlapping-generations fecundity,0.81,2.5,linear,0.95,0.5,0.45,0,0,0.05,0.1,0.35,100.5,165.85,2195.822432
overlapping-generations fecundity,0.83,5,linear,0.9,0,0.9,0,0,0.1,0.1,0.8,266.95,378.6,2056.522536
overlapping-generations fecundity,0.89,9,linear,0.95,0,0.95,0.05,0,0,0.05,0.9,368.35,427.25,1559.341877
overlapping-generations fecundity,0.99,9.5,linear,1,0.9,0.1,0,0,0,0.1,0,29,72.95,3398.584053
overlapping-generations fecundity,0.99,10,linear,1,0.85,0.15,0,0,0,0.15,0,36.33333333,74.7,3527.427886
overlapping-generations fecundity,0.92,9,linear,1,0.2,0.8,0,0,0,0.1,0.7,132.25,170.15,2505.264963
overlapping-generations fecundity,1,10,linear,1,0.8,0.2,0,0,0,0.15,0.05,39,75.4,3331.117083
overlapping-generations fecundity,0.8,2.5,linear,0.95,0.55,0.4,0,0,0.05,0.1,0.3,87,157.3,3120.376218
overlapping-generations fecundity,0.98,10,linear,1,0.8,0.2,0,0,0,0.1,0.1,66.5,83.6,2799.189712
overlapping-generations fecundity,0.91,9,linear,1,0.25,0.75,0,0,0,0.25,0.5,182.6666667,203.55,1828.325749
overlapping-generations fecundity,0.98,9.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,103,81.1,2145.598976
overlapping-generations fecundity,0.82,3,linear,0.7,0.35,0.35,0,0,0.3,0.05,0.3,99.45454545,388.3,3449.881995
overlapping-generations fecundity,0.88,6.5,linear,1,0.25,0.75,0,0,0,0,0.75,194.2,211.8,2298.395891
overlapping-generations fecundity,0.97,9.5,linear,1,0.7,0.3,0,0,0,0.05,0.25,92.16666667,99.1,2201.217355
overlapping-generations fecundity,0.88,8.5,linear,0.8,0,0.8,0.2,0,0,0.05,0.75,420.2,479.65,1473.425633
overlapping-generations fecundity,0.88,7,linear,1,0.3,0.7,0,0,0,0,0.7,190.3571429,201.45,1956.534332
overlapping-generations fecundity,0.89,7,linear,1,0.4,0.6,0,0,0,0,0.6,216.9166667,200.05,1794.511793
overlapping-generations fecundity,0.81,3,linear,0.9,0.35,0.55,0,0,0.1,0.1,0.45,108.1538462,222.7,2407.642014
overlapping-generations fecundity,0.95,9.5,linear,1,0.5,0.5,0,0,0,0.3,0.2,47.2,93.1,3470.323796
overlapping-generations fecundity,0.97,10,linear,1,0.65,0.35,0,0,0,0.15,0.2,73,93.75,2775.343009
overlapping-generations fecundity,0.87,6.5,linear,0.95,0.15,0.8,0.05,0,0,0.1,0.7,287.1764706,307.85,1616.101245
overlapping-generations fecundity,0.87,8,linear,0.9,0.1,0.8,0.1,0,0,0,0.8,470.4444444,487.5,1425.220951
overlapping-generations fecundity,0.96,9.5,linear,1,0.6,0.4,0,0,0,0.15,0.25,62.25,92.8,3801.972976
overlapping-generations fecundity,0.81,4.5,linear,0.85,0.1,0.75,0.15,0,0,0.05,0.7,406.6666667,427.8,1665.917091
overlapping-generations fecundity,0.83,5.5,linear,0.85,0.05,0.8,0.15,0,0,0.1,0.7,454.7894737,492.15,1468.756207
overlapping-generations fecundity,0.88,9,linear,0.95,0.05,0.9,0.05,0,0,0,0.9,387.9473684,430.9,1621.678427
overlapping-generations fecundity,0.94,10,linear,1,0.55,0.45,0,0,0,0.15,0.3,104,119.7,2390.827591
overlapping-generations fecundity,0.96,10,linear,1,0.8,0.2,0,0,0,0.05,0.15,135.5,98.5,3736.785674
overlapping-generations fecundity,0.94,9.5,linear,0.95,0.45,0.5,0,0,0.05,0.3,0.2,92,163.2,2605.03418
overlapping-generations fecundity,0.82,5,linear,0.8,0,0.8,0.2,0,0,0.05,0.75,439.7,496.6,1595.633242
overlapping-generations fecundity,0.95,10,linear,1,0.65,0.35,0,0,0,0.1,0.25,104.8571429,109.9,2509.490776
overlapping-generations fecundity,0.93,10,linear,1,0.25,0.75,0,0,0,0.15,0.6,114.2666667,150.8,2480.078369
overlapping-generations fecundity,0.87,8.5,linear,0.8,0.05,0.75,0.2,0,0,0,0.75,514.5789474,549.3,1448.726285
overlapping-generations fecundity,0.93,9.5,linear,1,0.45,0.55,0,0,0,0.1,0.45,116,133.05,2289.892388
overlapping-generations fecundity,0.8,3,linear,0.75,0.2,0.55,0,0,0.25,0,0.55,137.9375,374.45,2527.326745
overlapping-generations fecundity,0.86,7.5,linear,0.65,0,0.65,0.3,0,0.05,0,0.65,514.65,613.3,1466.980864
overlapping-generations fecundity,0.87,7,linear,0.9,0.1,0.8,0.1,0,0,0,0.8,317.1111111,346.45,1544.263946
overlapping-generations fecundity,1,3.5,convex,1,1,0,0,0,0,0,0,nan,67.35,nan
overlapping-generations fecundity,0.86,6,linear,0.9,0.05,0.85,0.1,0,0,0,0.85,349.1052632,392.85,1613.916272
overlapping-generations fecundity,0.99,3.5,convex,1,0.85,0.15,0,0,0,0.05,0.1,42,73.6,2491.099864
overlapping-generations fecundity,0.98,3,convex,1,1,0,0,0,0,0,0,nan,68.15,nan
overlapping-generations fecundity,0.97,3.5,convex,1,0.95,0.05,0,0,0,0,0.05,56,71.5,3460.674419
overlapping-generations fecundity,1,3,convex,1,0.95,0.05,0,0,0,0.05,0,23,67.45,3734.06
overlapping-generations fecundity,1,4,convex,1,1,0,0,0,0,0,0,nan,67.3,nan
overlapping-generations fecundity,0.96,3.5,convex,1,0.95,0.05,0,0,0,0,0.05,57,71.65,3822.965909
overlapping-generations fecundity,0.99,3,convex,1,1,0,0,0,0,0,0,nan,67.1,nan
overlapping-generations fecundity,0.97,3,convex,1,0.9,0.1,0,0,0,0.1,0,17,70.2,2391.391015
overlapping-generations fecundity,0.98,3.5,convex,1,0.95,0.05,0,0,0,0.05,0,15,70.4,3917.617021
overlapping-generations fecundity,0.95,3.5,convex,1,1,0,0,0,0,0,0,nan,71.8,nan
overlapping-generations fecundity,0.96,3,convex,0.95,0.95,0,0,0,0.05,0,0,nan,116.65,nan
overlapping-generations fecundity,0.92,10,linear,1,0.2,0.8,0,0,0,0.05,0.75,190.25,217.45,1928.342606
overlapping-generations fecundity,0.95,3,convex,1,1,0,0,0,0,0,0,nan,70.9,nan
overlapping-generations fecundity,0.99,4,convex,1,1,0,0,0,0,0,0,nan,68.6,nan
overlapping-generations fecundity,0.86,8,linear,0.8,0.05,0.75,0.2,0,0,0,0.75,628.5263158,658.5,1339.170434
overlapping-generations fecundity,0.98,4,convex,1,1,0,0,0,0,0,0,nan,69.05,nan
overlapping-generations fecundity,0.92,9.5,linear,1,0.3,0.7,0,0,0,0.1,0.6,141.3571429,165.95,2330.564986
overlapping-generations fecundity,1,4.5,convex,1,1,0,0,0,0,0,0,nan,67.9,nan
overlapping-generations fecundity,0.94,3.5,convex,1,0.95,0.05,0,0,0,0.05,0,12,73.45,1718.340909
overlapping-generations fecundity,0.99,4.5,convex,1,1,0,0,0,0,0,0,nan,68.75,nan
overlapping-generations fecundity,1,5,convex,1,1,0,0,0,0,0,0,nan,67.65,nan
overlapping-generations fecundity,0.95,4,convex,1,1,0,0,0,0,0,0,nan,72.7,nan
overlapping-generations fecundity,0.86,6.5,linear,0.9,0.1,0.8,0.1,0,0,0,0.8,528.4444444,539.15,1373.295159
overlapping-generations fecundity,0.8,4.5,linear,0.8,0,0.8,0.2,0,0,0.05,0.75,507.1,565.7,1588.614017
overlapping-generations fecundity,0.94,4,convex,1,0.95,0.05,0,0,0,0.05,0,16,73.65,1482.270833
overlapping-generations fecundity,0.97,4,convex,1,0.95,0.05,0,0,0,0.05,0,46,71.05,3308.802632
