df_cluster,df_popsize,df_popsize_per_cluster,dv_cluster,dv_popsize,dv_popsize_per_cluster,of_cluser,of_popsize,of_popsize_per_cluster,ov_cluster,ov_popsize,ov_popsize_per_cluster
3,4090,3617,1,1347,2622,1,746,7218,2,571,3060.5
3,4539,3138,1,2144,2731,1,957,7323,2,722,3012
3,4243,2675,2,3049,2731,1,1229,7552,2,902,3012
2,5362,1487.5,2,3925,2683.5,1,1586,7572,2,1207,5921
2,5058,1487.5,1,4826,2683.5,1,1979,4674,2,1593,2886.5
2,4584,2856,1,5281,2618.5,1,2498,4234,2,2151,2886.5
1,4149,2492,2,5800,2618.5,1,2887,3834,2,2719,5676
1,3049,2216,2,2956,5223,1,3241,3410,2,3406,5523
1,2497,2422,2,3513,4511,1,3687,3056,2,4231,5247
1,2864,1236,3,4190,4306,1,4233,2777,2,4933,4998
2,3447,1236,1,4802,4254,2,4675,2091,3,5744,4701
2,3971,1066,2,5028,4338,1,5175,2134,3,6443,1428
1,4409,1066,2,5677,4597,1,5630,2256,3,7195,1418
2,4827,1140,3,6113,4689,1,6048,2280,3,7858,1411
2,4954,1140,1,6969,2320.5,1,6503,2324,3,8513,726
2,5372,1277.5,1,7948,2320.5,1,6928,2337,3,8926,726
2,5425,1277.5,2,7930,4690,1,7519,1149.5,3,9336,1466
3,5557,1100,1,7667,4762,1,8131,1149.5,3,9803,1477
3,5564,1100,2,7451,5179,1,8549,788,3,10233,526.3333333
2,5645,1193.5,1,5588,5018,1,9249,788,2,10588,526.3333333
1,5906,1193.5,1,5794,5883,1,9809,788,3,10856,526.3333333
2,5533,2728,1,5046,6499,1,10240,807.3333333,3,10789,586.6666667
1,5487,1524.5,1,2378,7555,1,10912,807.3333333,2,10666,586.6666667
3,4718,1524.5,2,2653,8225,1,11603,807.3333333,2,10491,586.6666667
2,4441,1775,1,2944,8488,1,12119,828.3333333,1,10368,633.6666667
1,3849,1775,1,3029,8675,1,12491,828.3333333,1,10066,633.6666667
1,1676,1935.5,1,614,7969,1,12730,828.3333333,1,9784,633.6666667
1,1190,1935.5,1,649,6433,1,12782,632,1,6488,716
1,1286,1931.5,1,1104,4328,1,12796,632,1,578,716
2,1365,1931.5,1,1946,2184.5,1,12758,632,1,565,716
1,1595,1945.5,1,2802,2184.5,1,12537,632,1,1449,810.3333333
2,1712,1945.5,1,3672,4556,1,12475,631.5,1,1450,810.3333333
1,2269,1871.5,1,4627,3523,1,12249,631.5,1,1466,810.3333333
1,2387,1871.5,1,5259,3020,1,11988,631.5,1,1429,1348.5
1,2778,1730.5,2,5960,1442.5,1,11537,631.5,1,1403,1348.5
1,3508,1730.5,2,6737,1442.5,1,8021,607.75,1,1388,1530.5
1,3884,1546.5,2,6685,2707,1,7635,607.75,1,1408,1530.5
1,4155,1546.5,2,6775,2828,1,7348,607.75,1,1501,1720.5
2,4519,1064,1,6047,1062,1,7007,607.75,2,1637,1720.5
2,4980,1064,1,3530,1062,1,6870,802.3333333,2,1729,1975
1,5405,1064,1,3190,1062,1,6811,802.3333333,1,1780,1975
1,5741,3336,1,3646,1211.333333,1,6823,802.3333333,1,1811,4354
1,5700,2857,2,4405,1211.333333,1,6864,1167,1,1877,4852
1,6073,2586,3,5441,1211.333333,1,6768,1167,1,1900,5487
1,7025,668.4,1,6145,2152.5,1,6719,1133.5,1,1915,6235
1,7257,668.4,2,6543,2152.5,1,6596,1133.5,1,2011,3378.5
1,7010,668.4,1,6540,2689.5,1,6461,2252,1,2107,3378.5
1,6623,668.4,1,3358,2689.5,1,6073,1136,2,2287,3590
1,7133,668.4,1,2316,3226,1,3382,1136,1,2482,3590
1,7216,1718.5,2,3265,3226,1,3157,568.25,2,2627,3756.5
1,6858,1718.5,2,4033,7998,2,2966,568.25,1,2789,3756.5
1,6307,3453,2,4744,9341,1,2790,568.25,2,3009,3963.5
1,5593,3681,2,4907,9859,1,2683,568.25,1,3049,3963.5
1,2796,4229,1,5349,10770,1,2539,567.5,2,3042,4198
1,1403,3482,2,5949,10948,1,2511,567.5,1,3042,4198
1,937,3246,2,6099,10775,1,2436,567.5,1,3025,8640
1,880,2959,2,6196,9813,1,2295,567.5,1,3007,6848
1,861,2122,2,6968,9036,1,2224,1114,1,3052,6523
1,1008,774,2,6768,8901,1,2161,1114,1,3177,6135
2,801,774,2,6549,5377,1,2299,762.3333333,2,3320,5818
4,925,1011,1,6353,4841,2,2363,762.3333333,2,3500,5445
2,1179,1086,1,6427,5297,1,2434,762.3333333,2,3596,5137
1,1879,1796,3,6157,5748,1,2424,811,2,3672,2447
1,2751,2713,1,6291,2783.5,1,2361,811,2,3714,2447
1,4129,3555,1,6393,2783.5,1,2290,811,2,3768,2398
1,4843,2109,1,6222,5632,1,2098,1248.5,2,3789,2398
2,6170,2109,1,5913,3662,2,2018,1248.5,2,3812,4693
2,7064,2388.5,1,2788,3740,1,1838,838.3333333,1,3780,4730
1,7464,2388.5,1,2852,3788,2,1638,838.3333333,2,3748,4797
1,8089,1709.333333,1,3213,3891,3,1500,838.3333333,2,3750,2439.5
1,8198,1709.333333,1,3333,4273,3,1502,1263.5,1,3820,2439.5
1,7975,1709.333333,1,3186,4411,2,1679,1263.5,1,3807,2483
1,7406,5128,2,3468,2325,1,1867,909,1,3774,2483
1,7369,2707.5,1,4071,2325,2,2224,909,1,3878,2579.5
1,6669,2707.5,1,4597,1575.666667,2,2642,909,1,3963,2579.5
1,945,2849,2,5104,1575.666667,1,3112,1395.5,1,4086,5248
1,786,2849,1,5970,1575.666667,1,3683,1395.5,1,4100,2640.5
1,1213,1550.333333,1,6364,4946,1,4150,1368,1,4144,2640.5
1,1527,1550.333333,2,6651,2459.5,2,4762,1368,1,4054,2740.5
1,2111,1550.333333,1,6793,2459.5,3,5216,1368,1,1333,2740.5
1,2575,1521,2,6226,4692,2,5538,1368,2,1268,2864.5
1,3724,1521,2,5829,4964,2,5680,1436.5,1,1272,2864.5
1,4754,1521,3,5481,2649.5,2,6004,1436.5,1,1286,2933.5
1,5839,2780,3,4951,2649.5,2,6282,1438.5,1,1305,2933.5
1,7076,2780,3,5279,5498,2,6501,1438.5,1,1417,6188
1,8189,6282,2,5072,1973.666667,3,6863,1438.5,1,1591,6225
1,9473,7016,2,4699,1973.666667,3,7096,1438.5,1,1812,6072
1,9903,7614,1,4637,1973.666667,3,7238,1355,2,1981,6041
1,10898,7724,1,4112,3347.5,3,7646,1355,2,2145,6148
1,11959,3776.5,1,4241,3347.5,2,7843,1306,2,2259,6171
1,12516,3776.5,1,4289,7680,2,7993,1306,1,110,6388
1,13584,2400.666667,2,4462,3981,3,8106,2340,1,153,6595
1,14193,2400.666667,2,4165,3981,2,8290,1426,1,186,6885
1,14365,2400.666667,2,4769,3586.5,2,8274,1281,1,251,7058
1,14544,3327.5,2,5090,3586.5,1,8220,524,1,346,7414
1,14290,3327.5,2,5188,6079,1,8041,222,1,448,7678
1,13864,6546,2,5039,5150,1,7747,195,1,564,7946
1,1995,6416,1,2468,5373,1,7363,168,1,630,7979
1,2431,5629,1,2337,5341,1,6975,154,1,674,8274
1,2691,4906,1,2535,5116,1,1143,178,1,735,8344
1,3149,4091,1,2671,670.5,2,1078,248,1,833,8570
1,4017,3741,2,2926,670.5,1,1104,388,1,833,8851
1,5504,3359,2,2983,405.75,1,1263,605,1,901,8887
1,6542,1453,2,3374,405.75,1,1503,1039,1,904,9094
1,8330,1453,2,3909,405.75,1,1753,1654,1,986,9266
1,9721,882.3333333,3,4492,405.75,2,2149,2304,1,995,9342
1,10080,882.3333333,3,4893,2166,1,2655,3104,1,967,1382
2,10371,882.3333333,3,4776,2967,1,3241,4022,1,1064,1329
2,9712,1086.5,1,4683,4223,2,3910,5029,1,1108,1257
3,9253,1086.5,2,4921,5677,1,4630,6243,1,1130,1292
3,8351,677,1,5375,6730,1,5518,7510,1,1226,1375
3,7364,677,1,5211,7895,1,6309,8862,1,1286,1608
1,5955,677,1,5286,8865,1,7002,5186,1,1420,1895
1,4440,2180,1,5146,9616,2,7847,5186,1,1531,2300
1,3472,2609,1,4930,10061,2,8513,11915,1,1649,1384
1,302,1761.5,1,5098,10713,2,9046,4552,2,1737,1384
1,464,1761.5,1,1639,10681,1,9377,4552,2,1712,1657
1,697,1956.5,1,1689,10574,1,9482,4552,1,1737,1657
1,1089,1956.5,1,2159,9930,1,9419,5181,1,1718,1356.666667
1,1422,2054,1,2166,9400,1,962,5181,1,1109,1356.666667
1,1615,2054,1,2567,8050,1,895,5181,2,1111,1356.666667
1,1802,1541.333333,1,3319,7175,2,820,8468.5,1,1122,1645
1,2321,1541.333333,1,3907,6920,2,761,8468.5,1,1196,1645
1,2813,1541.333333,1,4544,6288,2,762,8981.5,1,1377,1645
1,2958,2504.5,1,5459,3568,1,721,8981.5,1,1537,1927
1,3541,2504.5,1,6307,3631,2,705,741,1,1640,1927
1,4201,5406,1,7560,3880,2,721,351.5,1,1765,1927
1,4720,5782,1,8018,3896,1,673,351.5,1,1844,3401.5
1,5483,6215,1,8637,2192.5,1,715,750,2,1842,3401.5
1,5894,5532,2,8874,2192.5,1,747,848,1,1924,3942.5
1,6150,4652,1,8722,2225.5,1,803,900,1,1910,3942.5
1,6319,3135,1,8558,2225.5,1,811,1012,1,1882,4414
1,6666,2187,1,7550,2229,1,929,570.5,1,1873,4414
1,6615,1904,1,6471,2229,1,1042,570.5,1,1892,4773
1,6500,1731,1,5643,2460.5,1,1215,649.5,1,1785,4773
1,6107,1895,1,5801,2460.5,1,1343,649.5,1,1693,10224
1,5836,1861,1,6016,2600.5,1,1565,386.5,1,1628,10579
1,5268,840,2,6182,2600.5,1,1763,386.5,2,1634,11150
1,5117,840,2,6442,5512,1,1971,386.5,1,1666,11622
1,5181,964,2,6826,5949,1,2147,386.5,1,1733,11887
1,4160,964,1,3398,3094,1,2207,591.3333333,1,1795,11893
1,3172,2239,1,3930,3094,1,2351,591.3333333,1,1739,2066
1,2614,2269,2,4404,3009,1,2513,591.3333333,1,1686,1062
1,2338,2545,2,4648,3009,1,2682,989.5,2,1700,1062
1,1924,1269,2,4962,3107,1,2985,989.5,2,1736,744.3333333
1,2160,1269,3,4429,3107,1,3213,555.75,3,1744,744.3333333
1,2716,1155.5,3,4545,5790,1,3411,555.75,3,1879,744.3333333
1,3733,1155.5,3,4529,2889.5,1,3482,555.75,2,1973,807.6666667
2,4257,1223,2,4857,2889.5,2,3570,555.75,3,2233,807.6666667
2,4476,1223,1,4723,1809,2,3629,1265,3,2444,807.6666667
3,4764,1163,2,5068,1809,1,3659,1265,2,2702,906.6666667
2,4992,1163,2,5009,1809,1,3685,1414.5,1,3047,906.6666667
3,5077,2226,1,5150,1898.666667,1,3634,1414.5,1,3452,906.6666667
3,5346,990.5,1,5861,1898.666667,1,3525,1574.5,1,3894,594
3,5472,990.5,1,6385,1898.666667,1,3589,1574.5,2,4205,594
3,4972,896.5,1,6218,2792.5,1,3619,1164,2,4492,594
2,4436,896.5,1,6095,2792.5,1,3644,1164,2,4835,594
1,4378,770,1,6250,2714.5,1,3515,1164,2,5051,594
2,4105,770,1,6752,2714.5,1,3310,1244.666667,1,5210,1555.5
1,4167,923,2,6345,3852,1,3144,1244.666667,1,5489,1555.5
1,3460,923,1,6532,4158,1,2896,1244.666667,1,5739,3251
2,3534,786,1,5644,4673,1,2695,958,1,6218,3308
2,3720,786,1,4646,5366,2,2344,958,1,6577,1713.5
1,3282,1691,1,3959,6088,1,2088,958,1,6893,1713.5
1,3490,2338,1,2585,3416.5,1,1855,958,1,7230,1790
1,3878,2598,1,2713,3416.5,1,1720,1983.5,1,7498,1790
1,3515,1609.5,1,3015,3732,1,1836,1983.5,1,8004,1827
2,3389,1609.5,1,3141,3732,1,2006,2025,1,8421,1827
1,3474,1150,1,4302,3758.5,1,2236,2025,1,8913,1865
1,3602,1150,2,5612,3758.5,1,2474,2035,1,9394,1865
1,4320,1150,2,6861,3413,1,2746,2035,2,9807,1075
1,4497,1927.5,3,8400,3413,1,3090,1972,2,10082,1071
1,4528,1927.5,3,9037,5957,1,3742,1972,2,10296,1140
2,4312,1388,3,9400,5661,1,4227,1880,2,10338,622
3,4310,1388,2,9150,5671,1,4809,1880,2,10267,622
3,4147,1388,1,8762,5903,1,5351,1866.5,1,3713,692
2,3564,2547,1,7759,5594,1,5818,1866.5,2,3492,692
1,2476,2547,1,7379,5914,1,6321,3845,1,3361,766.5
1,2562,1732,1,7228,6204,2,6810,3836,2,3282,766.5
1,2353,1732,2,6524,6394,2,7286,1950.5,1,3236,874
2,2507,1732,1,5693,6305,1,7851,1950.5,1,3130,874
1,2489,2311.5,1,5491,3358,3,8201,3773,1,3056,1017
1,3148,2311.5,1,5753,3358,3,8475,3036,1,2632,1017
1,3850,4304,1,5123,6430,2,8918,1362,2,909,1163
1,4262,4314,2,4624,6138,2,9249,1362,2,1102,1163
1,5070,1953,1,4091,7049,2,9651,2258,2,1280,881.3333333
1,5911,1953,1,4448,7306,1,10006,2024,2,1526,881.3333333
1,6843,3478,2,4513,7576,2,10192,1829,2,1745,881.3333333
2,6085,3237,1,1144,6921,3,10282,1597,3,1867,3013
2,5586,2897,1,1437,7269,1,10274,3964,3,2006,1686.5
1,5271,2726,1,2419,6428,1,1092,3444,2,2106,1686.5
1,4653,2266,1,4135,422.5,1,1045,654.5,4,2258,3751
1,3658,1185.5,1,5664,422.5,1,1061,654.5,3,2610,3939
1,3283,1185.5,3,7286,1039,1,1142,1139,4,2905,4187
1,2756,2468,2,8498,1961,2,1252,358.6666667,1,3222,4369
1,2327,2370,4,9762,1279,1,1325,358.6666667,1,3358,4487
2,2185,3553,4,10579,1279,3,1499,358.6666667,1,3562,4460
2,1947,3782,3,10579,1459.5,1,1731,521.5,2,3755,4621
1,2102,4282,2,10079,1459.5,2,1995,521.5,2,3866,1458
1,2354,4144,2,9259,1680.5,2,2281,510.5,1,3963,1397
1,2620,3971,1,4334,1680.5,2,2589,510.5,1,4032,1402
1,2295,3515,1,3602,1767.5,2,2917,366,1,4135,1501
2,2439,4092,1,3423,1767.5,1,3131,366,1,4218,1656
2,1994,4954,1,3216,1899.5,1,3269,366,1,4526,1824
3,2070,5193,1,3377,1899.5,1,3394,376,1,4765,1932
1,1997,5916,1,3740,2018,2,3505,376,1,4990,2082
3,2258,3197,2,4563,2018,1,3455,376,1,5230,2186
4,2627,3197,2,5943,4275,1,3370,1104,1,5405,2352
2,3478,3085,3,7115,4100,1,3203,1125,1,5473,2436
3,3006,3085,2,8088,4534,1,3053,1037,2,5544,2498
2,2637,1704,4,9227,4917,2,2917,917,2,5461,1076
1,2306,1404,2,10167,2425.5,1,2603,910,2,5388,1076
1,1695,1423,1,10385,2425.5,1,2331,470.5,2,5358,1046
1,1943,1618,1,10310,2395.5,1,2130,470.5,2,5347,1046
2,2356,1919,1,10039,2395.5,1,1988,535.5,1,5412,1017.5
2,2216,1032.5,1,9535,2321,1,1905,535.5,2,5245,1017.5
2,2173,1032.5,1,8699,2321,1,1846,571,1,5199,995
2,2243,1526,1,3562,2594,1,1888,571,2,4955,995
1,2223,1526,2,3508,2594,1,1841,639,2,4744,966.5
1,2339,1815,2,3789,2938,1,1809,639,2,4619,966.5
1,2612,1815,2,4300,2938,1,1799,699,2,4444,975
2,3144,4344,2,4384,3399,2,1747,699,2,4271,975
2,4001,5298,2,1240,3399,2,1727,753.5,2,4176,2050
2,4533,5913,2,1307,7940,2,1681,753.5,1,3708,1146.5
2,4455,6899,2,1676,8529,2,1617,843.5,1,3647,1146.5
1,4397,3963,1,2127,8367,2,1608,843.5,1,3521,1278
1,4592,3963,1,2097,8917,2,1614,1003.5,1,3420,1278
1,4665,8319,3,2654,8730,2,1607,1003.5,1,3418,2839
1,4241,4039,2,3095,8324,3,1694,604.25,2,3297,3063
1,3890,4039,3,3016,6695,5,1836,604.25,2,3291,3292
1,2935,4028,2,2866,6670,3,2009,604.25,2,3342,3463
1,2080,4028,2,2945,6370,3,2244,604.25,1,3345,3630
1,2113,7505,1,3333,6015,3,2637,1451.5,2,3406,1300.666667
1,1809,6500,1,3979,5819,3,3006,1451.5,3,3432,1300.666667
1,1131,5986,1,4296,5581,1,3483,3532,2,3462,1300.666667
2,1235,2707.5,1,4731,3145,1,3984,2112,2,3606,2123.5
1,1170,2707.5,2,5506,2762,2,4466,2112,2,3714,2123.5
1,1483,4152,2,5914,2866,2,5010,2411,2,3799,1513.333333
2,2038,3499,2,6413,3148,3,5445,2411,1,3900,1513.333333
2,3133,2773,2,6997,3742,3,5904,5457,1,3907,1513.333333
1,4064,2933,1,7049,4317,3,6218,2852.5,2,3802,1610
1,4075,3198,1,6950,4695,3,6407,2852.5,2,3745,1610
1,4556,1988.5,1,2101,2433,3,6669,3049,2,3590,1610
1,5061,1988.5,2,2423,2433,3,7034,3049,2,3494,1751.333333
1,5082,2240,3,2622,2391,3,7210,3102.5,2,3514,1751.333333
1,4996,2240,1,2607,2391,2,7427,3102.5,3,3618,1751.333333
1,5133,2465,1,1087,1646,2,7470,6168,3,3906,5599
1,5271,2465,1,1744,1646,1,7465,6082,2,4191,3022.5
1,4824,5652,2,2009,1646,2,7310,6110,1,4390,3022.5
1,4830,2903,2,2508,2356,1,7166,5934,1,4603,3307.5
1,4282,2903,2,2863,2356,1,6912,1923,1,4614,3307.5
2,3408,2910,1,1860,4887,1,6641,1923,1,4553,3622.5
1,2400,2910,2,1730,5041,1,1865,1923,1,4529,3622.5
1,1907,5660,2,1866,1677.333333,1,1775,1870.666667,1,4423,7623
1,1350,4977,2,1984,1677.333333,1,1720,1870.666667,1,4317,7848
1,1140,2224,2,2680,1677.333333,1,1702,1870.666667,1,4279,3934.5
1,1060,2224,2,3830,2578.5,1,1623,1782.333333,1,414,3934.5
1,1495,2257.5,3,5120,2578.5,2,1503,1782.333333,1,510,7836
2,1747,2257.5,3,6131,1716.666667,3,1489,1782.333333,1,599,3802.5
1,1936,3910,4,6756,1716.666667,2,1441,5082,1,704,3802.5
1,2387,2539,3,6666,1716.666667,1,1454,4770,1,796,3727.5
1,3125,2071,2,4297,5281,1,1507,4504,1,922,3727.5
2,3736,2220,1,4272,1849.666667,1,1602,4124,1,1033,3612.5
2,4641,2911,1,4416,1849.666667,2,1568,578.5,1,1131,3612.5
1,4957,1358.5,1,4405,1849.666667,2,1578,578.5,1,1204,7013
1,5122,1358.5,1,4399,2962.5,2,1593,655,1,1276,3376
1,5308,1188.5,2,4438,2962.5,2,1739,655,1,1306,3376
1,5390,1188.5,1,3115,3471.5,2,1794,705.5,1,1337,2947
1,5924,873.5,1,3119,3471.5,3,1870,705.5,1,1347,2418
1,6222,873.5,1,3268,7432,2,1858,797,1,1383,2483
1,6867,1074,1,3700,7361,1,1791,797,1,152,2667
1,7483,532.5,1,4530,6715,2,1808,905,1,187,2898
1,7853,532.5,1,5274,656.5,1,1841,905,1,263,3127
1,7447,463,2,5900,656.5,1,1934,1038.5,1,338,3421
1,7706,463,2,6689,918,1,2021,1038.5,1,535,3571
1,7742,705,2,7485,918,1,2170,793,1,792,3749
1,7591,705,4,7867,1283,2,2464,793,1,1078,3798
2,7355,808,3,8329,1283,3,2764,793,1,1438,541
2,7038,808,2,8455,3670,3,3076,893,1,1859,497
1,5212,1445.5,1,8473,4547,3,3249,893,1,2214,624
1,4538,1445.5,1,8735,2692,3,3311,893,1,2716,779
1,3571,2058.5,1,8758,2692,3,3370,704,1,3374,322.6666667
1,2799,2058.5,1,8360,3153.5,3,3373,704,1,4030,322.6666667
1,2346,2742,1,1207,3153.5,4,3430,704,1,4701,322.6666667
1,1523,2742,1,1409,2199,3,3465,704,1,5309,388.6666667
1,1449,3108,2,1948,2199,3,3391,760.75,1,5984,388.6666667
1,1155,3108,4,2524,2199,1,3295,760.75,1,6683,388.6666667
1,1189,7094,1,3563,2302.333333,1,3126,760.75,1,7595,714.5
1,1222,3782.5,1,5322,2302.333333,1,3004,760.75,1,8368,714.5
1,1077,3782.5,1,6832,2302.333333,2,2907,1079.666667,1,9148,1646
1,698,3982.5,1,8296,3403.5,2,2922,1079.666667,1,10120,941.5
2,698,3982.5,1,9476,3403.5,2,3056,1079.666667,1,10907,941.5
2,366,4191.5,2,10887,3398.5,2,3148,1720,1,11597,1045
1,422,4191.5,2,11978,3398.5,2,3215,1720,1,12328,1045
1,587,4351.5,2,12585,3298,2,3300,1908,1,13003,756
1,700,4351.5,1,13259,3298,2,3353,1908,1,13828,756
1,993,8719,1,13409,6368,3,3419,2054,1,14554,756
1,1676,4571.5,1,13324,3115.5,2,3571,2054,1,15274,1211.5
1,3169,4571.5,1,7741,3115.5,2,3561,2198,1,15835,1211.5
1,4800,4251.5,1,7867,2304,2,3516,2198,1,16585,1200.5
1,5890,4251.5,1,8022,759,3,3542,2263,1,17027,1200.5
1,7857,4096.5,1,8436,759,2,3475,2263,1,17208,1193
1,9152,4096.5,1,8498,759,2,3625,2340,1,17498,1193
1,10937,7926,1,8516,1391.5,2,3729,2340,1,17837,2446
1,12701,7651,1,7935,1391.5,2,3723,2394,1,18069,1218.5
1,14916,7468,1,4516,1686,2,3712,2394,1,18131,1218.5
1,16851,6872,1,4253,1686,3,3750,2473,1,18102,975.5
1,18478,5867,1,4495,2061,1,3815,2473,1,2609,975.5
1,19068,5109,1,4500,2061,2,3929,2424,1,2417,949.5
1,19920,4476,1,4043,2511.5,1,3995,2424,1,2328,949.5
1,19538,3853,1,3127,2511.5,2,4035,2371,1,2198,922
1,19330,2074.5,1,2909,2708.5,2,4038,2371,1,2164,922
1,18832,2074.5,1,2631,2708.5,1,4044,2299.5,1,2165,923
1,17776,4015,1,2821,1136.2,2,3913,2299.5,1,2192,923
1,1750,3701,2,3182,1136.2,1,3679,4299,1,2296,938.5
2,2017,1054.333333,1,3956,1136.2,1,3615,4157,1,2429,938.5
1,2771,1054.333333,1,4987,1136.2,2,3585,3837,1,2543,969.5
1,3702,1054.333333,1,5842,1136.2,2,3535,3602,1,2581,969.5
1,5014,1540,1,6647,2157.666667,1,3467,3207,1,2657,992.5
1,5740,1540,2,7893,2157.666667,2,3591,605,1,2683,992.5
2,6514,2697,2,8522,2157.666667,2,3800,577,1,2697,2170
1,7906,2992,2,9150,3414.5,2,3987,45,1,2719,771.6666667
1,8986,1360,2,8791,3414.5,1,4221,55,1,2713,771.6666667
1,10359,1360,2,8962,7765,1,4530,50,1,2680,771.6666667
1,11418,1385,1,9355,8456,1,4750,1128,1,1991,809.6666667
1,12682,1385,2,9334,9039,1,4967,961,1,1881,809.6666667
1,13544,1253.5,2,8423,8591,1,5202,307.6666667,1,1855,809.6666667
1,14557,1253.5,1,7640,7931,1,5333,307.6666667,1,1822,2440
2,14676,1428,1,6576,7027,1,5370,307.6666667,1,1792,2502
2,14221,1428,1,3846,3503,1,5371,452.5,2,1802,1316
1,13674,971.6666667,2,3482,2986,1,5241,452.5,1,1905,1316
1,11598,971.6666667,1,3428,2802,1,5118,338,1,2149,1375
1,10356,971.6666667,1,2942,3228,1,5029,338,1,2470,1375
1,10114,1596.5,1,2956,2596,1,4888,338,1,2761,2964
2,4417,1596.5,1,3428,2102,1,4706,391.3333333,2,3047,1547
1,3955,1526.5,1,3449,1049,1,4553,391.3333333,1,3302,1547
1,2904,1526.5,1,3564,1049,1,4478,391.3333333,2,3456,1671.5
1,2128,3281,1,3780,2306,1,559,430,3,3594,1671.5
2,2503,3494,1,4004,2881,1,560,430,3,3689,1801
2,3256,1776,1,5099,3310,1,550,430,4,3847,1801
2,4306,1776,1,6089,3764,1,591,1563,3,3972,1947
3,5364,1768,1,6762,2181.5,1,549,1925,3,4057,1947
2,6643,1768,1,7232,2181.5,2,460,1084.5,3,4148,2114.5
3,7386,3488,1,7173,2383.5,2,421,1084.5,3,4193,2114.5
2,7305,3554,1,7408,2383.5,1,416,2466,3,4346,2371
3,7137,3802,1,7606,2790,1,435,2911,2,4423,2371
1,7286,4088,1,7592,2790,1,505,3393,3,4509,1721.666667
1,7019,2076.5,2,7942,6611,1,598,3918,2,4574,1721.666667
2,6460,2076.5,1,6519,7699,1,714,4407,2,4704,1721.666667
2,5468,1974,1,5769,4246,1,835,4832,1,4785,2811
1,5148,1974,1,3132,4246,2,1025,5094,2,4179,2811
2,5075,3789,1,2739,4345.5,2,1300,5502,1,4135,3023
1,4564,3439,1,2395,4345.5,2,1493,5829,1,3556,3023
1,4579,2688,2,2252,8704,2,1738,6229,1,3378,3291
1,5072,2399,2,2844,8424,1,1944,6521,1,3222,3291
2,5160,2330,3,4055,3856.5,2,2193,3451.5,1,3209,3497
1,5298,3070,2,4982,3856.5,1,2531,3451.5,2,3207,3497
2,5521,3891,2,6412,6977,1,2685,6936,1,3264,3590
2,6187,4841,2,7593,2361,1,3035,3459.5,1,3415,3590
2,5755,5473,3,9058,2187,1,3407,3459.5,1,3645,3644.5
1,5965,5990,3,10440,2767,1,3666,6928,1,3842,3644.5
1,5964,6478,2,11489,1886.5,1,4149,6508,2,3896,7217
2,6285,3317.5,3,12008,1886.5,1,4564,6342,1,3866,7016
1,6598,3317.5,2,12374,2515,1,4875,5536,1,3782,6836
2,5687,3075.5,2,12371,2515,1,5175,3112,1,3810,6460
1,4551,3075.5,1,11509,6615,1,5491,2894,1,3801,6035
1,3599,3043,1,10863,3988.5,1,5848,1336,1,3788,4835
1,2717,3043,2,1636,3988.5,1,6093,1336,2,3863,4383
1,2446,2633,1,2119,4804.5,1,6261,2551,2,3824,4057
1,1905,2633,3,2092,4804.5,2,6393,1219,2,3793,3887
1,1899,4786,1,2537,5524.5,2,6646,1219,1,3691,1853.5
1,2160,4331,1,3481,5524.5,1,6727,1123,1,1303,1853.5
1,2886,4126,3,3786,11700,2,6745,1123,1,1322,1875.5
1,3762,3492,3,4721,5794.5,2,6804,1118.5,1,1286,1875.5
2,5258,3453,3,5839,5794.5,2,6579,1118.5,2,1299,1970.5
2,6830,1597.5,2,7730,5616.5,2,6569,2277,3,1328,1970.5
2,9198,1597.5,2,9312,5616.5,2,6582,2331,3,1445,1433
1,10447,1798.5,1,10914,10824,1,6534,2404,3,1685,1433
2,11582,1798.5,1,11892,5044,1,6541,2624,3,1844,1433
3,11471,3963,1,12491,5355,1,6310,3018,2,2130,2390
1,11114,2221,2,12311,6032,2,6178,3360,3,2466,2390
1,2177,2221,2,11721,5816,2,6143,3704,2,2773,2652
2,3203,4890,1,10138,5893,2,6008,2076.5,3,3185,2652
1,4564,2633.5,1,3516,3133,1,6076,2076.5,2,3409,2933
1,5633,2633.5,1,3992,1417.5,1,5965,4446,2,3615,2933
1,6936,2909,1,4650,1417.5,1,6006,2439,2,3833,2096.333333
1,7680,2909,1,5190,2929,1,5947,2439,2,4158,2096.333333
2,7953,6270,1,6529,3300,1,5820,5022,2,4473,2096.333333
1,7951,2180.333333,2,7689,3537,1,5875,5170,2,4842,3384.5
1,7976,2180.333333,2,8581,3850,1,5793,5352,2,5222,3384.5
1,7569,2180.333333,3,9655,1424.333333,1,5581,2709,2,5375,3579.5
2,8016,2224.333333,1,10171,1424.333333,1,5584,2709,2,5454,3579.5
1,8573,2224.333333,1,10130,1424.333333,1,5235,5676,3,5691,3760.5
1,8518,2224.333333,1,9839,2600.5,1,4934,5747,2,5890,3760.5
1,8619,2982,1,9478,2600.5,1,4562,5727,3,6054,3902
1,8221,2982,1,8841,6280,1,861,5731,3,6071,3902
2,7432,4447,1,3241,3422,1,752,5794,3,6164,3965.5
1,6852,4278,1,3412,3422,1,673,2936,2,6269,3965.5
1,5298,3958,1,3430,7514,1,617,2936,3,6554,7763
1,4242,3660,1,3729,7757,1,650,2930,2,6803,7482
2,3439,3416,2,3306,8131,1,698,2930,2,7103,7251
2,2813,1462,2,3028,8513,1,875,5499,2,7398,3895
