time_step,generation_time,drive_frequency
623,2.04336,0.559555
624,2.00995,0.56594
625,1.9987,0.559844
626,2.05907,0.55852
627,2.00359,0.55027
628,1.98561,0.555911
629,2.03997,0.561642
630,2.04434,0.567004
631,2.13877,0.566582
632,2.08063,0.565146
633,2.0738,0.585855
634,2.04581,0.588037
635,2.11905,0.590072
636,2.0785,0.58628
637,2.06901,0.591818
638,2.23899,0.594453
639,2.09366,0.599619
640,2.31678,0.607909
641,2.14161,0.626399
642,2.06876,0.637234
643,2.10129,0.642634
644,2.31193,0.64827
645,2.23362,0.657372
646,2.19808,0.63961
647,2.1746,0.610259
648,2.05263,0.577778
649,1.91925,0.523933
650,1.84239,0.496424
651,1.77857,0.449506
652,1.82096,0.443081
653,1.83054,0.446397
654,1.86154,0.447346
655,2.03729,0.449649
656,1.93356,0.49117
657,2.10054,0.518909
658,2.04251,0.533654
659,2.06406,0.554699
660,1.94291,0.554221
661,1.95149,0.562454
662,2.1,0.567779
663,2.05763,0.573061
664,1.97917,0.579599
665,1.91473,0.584751
666,2.04673,0.560203
667,1.96061,0.523824
668,1.99301,0.487263
669,1.88298,0.446318
670,1.86683,0.424804
671,1.77968,0.398345
672,1.7721,0.377088
673,1.94199,0.367864
674,2.03853,0.376101
675,2.04376,0.383015
676,1.92784,0.395478
677,1.961,0.405514
678,1.96291,0.420555
679,2.04676,0.426482
680,1.95974,0.43282
681,2.01584,0.440534
682,1.98496,0.43753
683,1.97503,0.431737
684,1.94765,0.440014
685,1.96509,0.449368
686,2.03871,0.450043
687,1.95754,0.461262
688,1.93448,0.461337
689,1.95757,0.461858
690,1.97978,0.465116
691,1.92635,0.464214
692,1.9327,0.474006
693,1.99833,0.475844
694,1.95383,0.475437
695,1.98358,0.472883
696,1.95187,0.473231
697,1.96223,0.47717
698,1.98994,0.487088
699,1.98211,0.497314
700,1.96024,0.499331
701,2.08836,0.507076
702,2.06232,0.520614
703,2.02632,0.535231
704,2.13106,0.54622
705,2.16299,0.563868
706,2.09888,0.580236
707,2.15964,0.585634
708,2.13599,0.59537
709,2.069,0.604162
710,2.03187,0.613998
711,2.09642,0.623181
712,2.16073,0.62607
713,2.13657,0.633649
714,2.211,0.631221
715,2.11323,0.63296
716,2.13744,0.638472
717,2.08564,0.639734
718,2.0463,0.634445
719,2.23994,0.639727
720,2.22182,0.619859
721,2.11417,0.611935
722,2.13699,0.577753
723,2.16567,0.551698
724,1.86187,0.486698
725,1.97278,0.429669
726,1.79938,0.376923
727,1.76214,0.324694
728,1.76892,0.289436
729,1.80769,0.26334
730,1.77551,0.246339
731,1.76773,0.215245
732,1.77008,0.208248
733,1.82613,0.196842
734,1.80904,0.1842
735,1.81669,0.17846
736,1.87248,0.175535
737,1.91201,0.175191
738,1.90816,0.179553
739,1.92426,0.18776
740,1.92552,0.200963
741,1.9548,0.213267
742,1.91099,0.224817
743,1.91753,0.233287
744,1.96777,0.244343
745,1.93216,0.255032
746,1.92851,0.268288
747,1.94412,0.285632
748,1.99101,0.299285
749,1.98776,0.315069
750,1.97866,0.323525
